Dep,Dest,Evenodd,Restriction,Route
OIAA,OIFM,ODD,,GABSU G667 AWZ W6 GADLU
OIAA,OIII,ODD,,GABSU G667 SAV
OIAA,OIMM,ODD,,GABSU G667 AWZ W6 ISN G202 ORSOK G663 RAMIL
OIAA,OING,ODD,,GABSU G667 TRN Z2 DNZ A414 IMPIR
OIAA,OINZ,ODD,,GABSU G667 NSH A416 MODEK
OIAA,OIKB,ODD,,DEMPO G665 SYZ W10 MOBON
OIAA,OISS,ODD,,DEMPO G665 KAVIL
OIAD,OIII,ODD,,DAPEM W7 ARK G667 SAV
OIAM,OIII,ODD,,GODMO W30 AWZ G667 SAV
OIAW,OIBQ,ODD,,GABSU G667 ABD G55 IBKUG
OIAW,OIBQ,ODD,,GODMO W30 MAH B417 UKNAR G55 IBKUG
OIAW,OIGG,ODD,,EGVAX G667 SAV N72 GOLNU W161 RARTA
OIAW,OIGG,ODD,,EGVAX G667 RABIM W3 DZF W9 EGRUD
OIAW,OIII,ODD,,EGVAX G667 SAV
OIAW,OING,ODD,,EGVAX G667 TRN Z2 DNZ A414 IMPIR
OIAW,OINZ,ODD,,EGVAX G667 NSH A416 MODEK
OIAW,OITL,EVEN,,EGVAX G667 SAV N72 GOLNU W161 RST A416 GIVTA
OIAW,OITL,EVEN,,EGVAX G667 RABIM W3 DZF W9 RST A416 GIVTA
OIAW,OIBK,ODD,,GODMO W30 VATAN G665 EGSIR T217 LAM G666 LVA B547 ALNOL
OIAW,OIBK,ODD,,GODMO W30 VATAN G665 EGSIR L223 LAM G666 LVA B547 ALNOL
OIAW,OIBS,ODD,,GODMO W30 VATAN G665 EGSIR T217 LAM G666 LVA B547 KIS
OIAW,OIBS,ODD,,GODMO W30 VATAN G665 EGSIR L223 LAM G666 LVA B547 KIS
OIAW,OIMM,ODD,,ITIBI W6 ISN G202 ORSOK G663 RAMIL
OIAW,OIFM,ODD,,ITIBI W6 GADLU
OIAW,OITT,EVEN,,EGVAX G667 SAV L124 ZAJ R654 BUDED R660 RAKED
OIAW,OITT,EVEN,,EGVAX G667 SAV R654 ZAJ R654 BUDED R660 RAKED
OIAW,OITT,EVEN,,EGVAX G667 ALTAX L223 UMH A422 SETNA
OIAW,LT,EVEN,,EGVAX G667 ALTAX L223 KAPES M555 ALRAM
OIAW,LT,EVEN,,EGVAX G667 ALTAX L223 UMH L852 TESVA
OIAW,LT,EVEN,,EGVAX G667 SAV R654 BUDED R660 DASIS
OIAW,LT,EVEN,,EGVAX G667 SAV R654 BUDED L333 DASIS
OIAW,OK,EVEN,,GODMO W30 MAH N72 TULAX
OIAW,OK,EVEN,,GODMO W30 MAH B417 TULAX
OIAW,OB,EVEN,,GODMO W30 IMDAT G663 ALSER
OIAW,OM,ODD,,GODMO W30 VATAN G665 EGSIR T217 LAM G666 ORSAR
OIAW,OM,ODD,,GODMO W30 VATAN G665 EGSIR L223 LAM G666 ORSAR
OIAW,OR,EVEN,,EGVAX G667 ALTAX L223 UKSIS G202 RAGET
OIBK,OICI,EVEN,,PURNA A418 SYZ P574 IMRAG G202 ALTET
OIBK,OICK,EVEN,,PURNA A418 SYZ P574 IMRAG G202 NOTSA
OIBK,OIFK,EVEN,,PURNA A418 SYZ R659 DAPOG
OIBK,OIFM,EVEN,,PURNA A418 SYZ R659 GESIP
OIBK,OIII,EVEN,,PURNA A418 SYZ R659 BOXAM
OIBK,OIII,EVEN,,PURNA A418 SYZ P574 PEKAM P574 SAV
OIBK,OIII,EVEN,,PURNA A418 SYZ P574 PEKAM R654 SAV
OIBK,OIKB,ODD,,MIVUN M561 KHM
OIBK,OIKK,ODD,,MIVUN M561 KHM M318 ASMET Q14 ALMEK
OIBK,OIMM,ODD,,MIVUN M561 KHM M318 TBS G663 RAMIL
OIBK,OINZ,EVEN,,PURNA A418 SYZ R659 TRN G667 NSH A416 MODEK
OIBK,OISS,EVEN,,PURNA A418 KASOL
OIBK,OICC,EVEN,,PURNA A418 SYZ W3 KIXOB L223 UKSIS G202 KRD W158 BUBAV
OIBK,OIGG,EVEN,,PURNA A418 SYZ P574 SAV N72 GOLNU W161 RARTA
OIBK,OITT,EVEN,,PURNA A418 SYZ P574 SAV L124 ZAJ R654 BUDED R660 RAKED
OIBK,OIAW,EVEN,,PURNA A418 SYZ G665 VATAN W30 GODMO
OIBK,OIHH,EVEN,,PURNA A418 SYZ P574 SAV M434 ORLOG
OIBP,OIII,ODD,,KATAG R659 BOXAM
OIBP,OING,ODD,,KATAG R659 TRN Z2 DNZ A414 IMPIR
OIBP,OINZ,EVEN,,KATAG R659 TRN G667 NSH A416 MODEK
OIBP,OITT,EVEN,,KATAG R659 SYZ P574 PEKAM L124 ZAJ R654 BUDED R660 RAKED
OIBP,OIAW,EVEN,,KATAG R659 LAGSA L223 EGSIR G665 VATAN W30 GODMO
OIBP,OIAW,EVEN,,KATAG R659 LAGSA T217 EGSIR G665 VATAN W30 GODMO
OIBP,OIHR,EVEN,,KATAG R659 SYZ P574 EGVEL W7 DEKBA
OIBP,OICC,EVEN,,KATAG R659 LAGSA L223 UKSIS G202 KRD W158 BUBAV
OIBP,OICC,EVEN,,KATAG R659 LAGSA T217 UKSIS G202 KRD W158 BUBAV
OIBP,OIMM,ODD,,KATAG R659 SYZ G663 RAMIL
OIBQ,OIAW,EVEN,,IBKUG G55 ABD G667 GABSU
OIBQ,OIAW,EVEN,,IBKUG G55 UKNAR B417 MAH W30 GODMO
OIBQ,OIII,ODD,,SESMA Q25 GESIP R659 BOXAM
OIBQ,OIII,ODD,,SESMA W144 GESIP R659 BOXAM
OIBQ,OISS,ODD,,IVERA
